varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
eta,1.0425,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.0425,1.0,0.5,2.0,0.5350241171196671,0.46497588288033287,0.22554014315747611,0.4749106686077668,0.019225259916428254,0.21706493921007666,0.4975466224399757,0.49754662243997566,5.551115123125783e-17,True,True,True,saddle,-1.4267144546745807,0.0,0.01922525991646684,0.0,1.4459397145884707,0.0,solution
eta,1.05,False,linear,True,1,1.0,-,0.45,0.01,1.05,1.0,0.5,2.0,0.14581995250654423,0.8541800474934558,0.2632307887108321,0.5130602193805637,0.019958233394226026,0.1991646678845203,0.4270900237467279,0.4270900237467279,1.2968366657254622e-16,True,True,True,saddle,-1.3657679578729176,0.0,0.01995823339506745,0.0,1.3857261912441443,0.0,solution
eta,1.05,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.05,1.0,0.5,2.0,0.5376012588808143,0.46239874111918566,0.22571844973796662,0.4750983579617663,0.020771701853200257,0.21543403706400494,0.4971722906611558,0.497172290661156,1.6653345369377348e-16,True,True,True,saddle,-1.4306331553885758,0.0,0.02077170185329802,0.0,1.4514048572279001,0.0,solution
eta,1.0575,False,linear,True,1,1.0,-,0.45,0.01,1.0575,1.0,0.5,2.0,0.15388668346606904,0.846113316533931,0.2656685650271813,0.515430465753802,0.021312753379310063,0.196743537031479,0.4230566582669655,0.4230566582669655,5.4381656596643237e-17,True,True,True,saddle,-1.3360204176203876,0.0,0.021312753380240655,0.0,1.3573331709718595,0.0,solution
eta,1.0575,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.0575,1.0,0.5,2.0,0.540107680656165,0.459892319343835,0.2259042264127993,0.47529383165869016,0.022294819958233014,0.21382295579535646,0.49678274790476606,0.4967827479047662,1.1102230246251565e-16,True,True,True,saddle,-1.4344915083181777,0.0,0.02229481995820337,0.0,1.4567863282780504,0.0,solution
eta,1.065,False,linear,True,1,1.0,-,0.45,0.01,1.065,1.0,0.5,2.0,0.16158906385992577,0.8384109361400742,0.2680279767552841,0.5177141844254262,0.02263554939488852,0.1943930676136697,0.4192054680700371,0.4192054680700371,6.509361928943402e-18,True,True,True,saddle,-1.3099028804248969,0.0,0.02263554939606774,0.0,1.3325384297988876,0.0,solution
eta,1.065,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.065,1.0,0.5,2.0,0.5425461106243514,0.45745388937564857,0.22609670591956899,0.4754962732972457,0.023795055404747,0.21223162161149248,0.4963796569414809,0.4963796569414809,1.3335318962389822e-17,True,True,True,saddle,-1.4382897403082748,0.0,0.0237950554047891,0.0,1.4620847957012322,0.0,solution
eta,1.0725,False,linear,True,1,1.0,-,0.45,0.01,1.0725,1.0,0.5,2.0,0.16895320162575,0.83104679837425,0.2703132914683585,0.5199166197270082,0.02392794431832761,0.1921095768045187,0.415523399187125,0.415523399187125,1.078513268931062e-16,True,True,True,saddle,-1.2867787902153773,0.0,0.023927944319190948,0.0,1.3107067344960177,0.0,solution
eta,1.0725,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.0725,1.0,0.5,2.0,0.5449191506586232,0.4550808493413768,0.22629518526203235,0.47570493508269635,0.025272845214850386,0.21065993399793628,0.4959645398082157,0.4959645398082158,1.1102230246251565e-16,True,True,True,saddle,-1.4420282008019942,0.0,0.02527284521493378,0.0,1.4673010460248568,0.0,solution
eta,1.08,False,linear,True,1,1.0,-,0.45,0.01,1.08,1.0,0.5,2.0,0.17600263290481488,0.8239973670951851,0.272528435086266,0.5220425606081041,0.0251911739056558,0.18988967382069738,0.41199868354759256,0.41199868354759256,1.9855981917045414e-17,True,True,True,saddle,-1.266154350722888,0.0,0.02519117390675324,0.0,1.2913455246082404,0.0,solution
