Pbar,mNL,n_points,E_roots,x_roots,tau_roots
289.0,0.0565,3,16.8154862845; 28.1071459478; 92.8203524030,0.1064731350; 0.1208311298; 0.1398336722,0.1119729165; 0.0570749200; 0.0125933201
290.0,0.055,3,13.2771347314; 44.9550619193; 77.2003159164,0.0978077223; 0.1300839446; 0.1377362686,0.1539722368; 0.0314062716; 0.0159271098
290.0,0.0555,3,14.0961998096; 38.3002159518; 84.0661935090,0.1001487470; 0.1272539590; 0.1387296722,0.1419677885; 0.0384492166; 0.0142993676
290.0,0.056,3,15.1897721027; 32.9454581611; 89.3413606711,0.1029277363; 0.1242980081; 0.1394111298,0.1283498948; 0.0465657802; 0.0132334912
290.0,0.0565,3,16.8995693756; 27.7924108411; 93.7828656840,0.1066364187; 0.1205662181; 0.1399387854,0.1112455872; 0.0579218840; 0.0124365339
291.0,0.0545,3,12.6355762282; 55.5655569171; 66.9090794427,0.0957866040; 0.1333913977; 0.1359490812,0.1647280904; 0.0240772509; 0.0190763710
291.0,0.055,3,13.2984768969; 44.2638279942; 78.5965710080,0.0978682998; 0.1298191462; 0.1379440101,0.1536554643; 0.0320350824; 0.0155794608
291.0,0.0555,3,14.1250589074; 37.8655615078; 85.2003681296,0.1002232776; 0.1270364754; 0.1388761319,0.1415936073; 0.0390199215; 0.0140668057
291.0,0.056,3,15.2332796739; 32.6113902576; 90.3622829388,0.1030274420; 0.1240828029; 0.1395301224,0.1278740633; 0.0471870303; 0.0130516067
291.0,0.0565,3,16.9865118554; 27.4815781204; 94.7390680658,0.1068038905; 0.1202995778; 0.1400414329,0.1105020641; 0.0587806736; 0.0122843733
292.0,0.0545,3,12.6523280756; 53.4914717937; 69.6911869687,0.0958379729; 0.1328254740; 0.1364671639,0.1644502215; 0.0252623319; 0.0181342182
292.0,0.055,3,13.3198605841; 43.6242901633; 79.9415463062,0.0979288473; 0.1295678030; 0.1381383201,0.1533391743; 0.0326377071; 0.0152577612
292.0,0.0555,3,14.1540667877; 37.4497234796; 86.3160322499,0.1002979560; 0.1268243937; 0.1390170357,0.1412191795; 0.0395805002; 0.0138448654
292.0,0.056,3,15.2773041592; 32.2869626892; 91.3734995788,0.1031278777; 0.1238701975; 0.1396457788,0.1273956410; 0.0478048173; 0.0128760277
292.0,0.0565,3,17.0765844204; 27.1740172507; 95.6893171032,0.1069759466; 0.1200306929; 0.1401417347,0.1097407849; 0.0596530923; 0.0121365945
293.0,0.0545,3,12.6690813263; 51.9783159015; 71.9128225324,0.0958892446; 0.1323884940; 0.1368563938,0.1641731125; 0.0261968741; 0.0174420850
293.0,0.055,3,13.3412869286; 43.0284112364; 81.2432755571,0.0979893678; 0.1293279055; 0.1383212051,0.1530233514; 0.0332181271; 0.0149580427
293.0,0.0555,3,14.1832273046; 37.0509821055; 87.4148994836,0.1003727895; 0.1266172346; 0.1391528556,0.1408444713; 0.0401319274; 0.0136326034
293.0,0.056,3,15.3218656873; 31.9714929307; 92.3756707083,0.1032290762; 0.1236599586; 0.1397582999,0.1269144924; 0.0484196791; 0.0127063496
293.0,0.0565,3,17.1701006036; 26.8690834914; 96.6339417391,0.1071530446; 0.1197589949; 0.1402398017,0.1089599454; 0.0605411659; 0.0119929731
294.0,0.0545,3,12.6858364543; 50.7508105837; 73.8492620121,0.0959404208; 0.1320177874; 0.1371794393,0.1638967526; 0.0270029889; 0.0168778680
294.0,0.055,3,13.3627570827; 42.4699983578; 82.5079481739,0.0980498640; 0.1290978998; 0.1384942161,0.1527079801; 0.0337794180; 0.0146772426
294.0,0.0555,3,14.2125444274; 36.6678514220; 88.4984495501,0.1004477856; 0.1264145816; 0.1392840005,0.1404694482; 0.0406750510; 0.0134292036
294.0,0.056,3,15.3669855503; 31.6643622737; 93.3693914835,0.1033310718; 0.1234518699; 0.1398678675,0.1264304747; 0.0490321211; 0.0125422068
294.0,0.0565,3,17.2674267572; 26.5661048807; 97.5732453376,0.1073357179; 0.1194838480; 0.1403357362,0.1081574446; 0.0614472002; 0.0118533018
295.0,0.0545,3,12.7025939352; 49.7039176403; 75.6055408466,0.0959915032; 0.1316893581; 0.1374602947,0.1636211315; 0.0277273752; 0.0163948766
295.0,0.055,3,13.3842722163; 41.9441620313; 83.7404502128,0.0981103390; 0.1288765544; 0.1386585818,0.1523930449; 0.0343240152; 0.0144129387
295.0,0.0555,3,14.2420222460; 36.2990372941; 89.5679702390,0.1005229521; 0.1262160700; 0.1394108275,0.1400940750; 0.0412106151; 0.0132339549
295.0,0.056,3,15.4126862999; 31.3650072637; 94.3552005663,0.1034339009; 0.1232457300; 0.1399746465,0.1259434377; 0.0496426226; 0.0123832683
295.0,0.0565,3,17.3689952183; 26.2643664353; 98.5075083179,0.1075245947; 0.1192045288; 0.1404296334,0.1073308105; 0.0623738565; 0.0117173889
296.0,0.0545,3,12.7193542465; 48.7842026597; 77.2350907036,0.0960424935; 0.1313909582; 0.1377112065,0.1633462387; 0.0283938418; 0.0159693097
296.0,0.055,3,13.4058335171; 41.4469632694; 84.9447172221,0.0981707956; 0.1286628733; 0.1388152950,0.1520785302; 0.0348538862; 0.0141631765
